rsvp_no,time,institution,status
128,2019-03-25 17:50:00,Non-academic Institution,Checked In
129,2019-03-25 18:00:00,Other,Attending
130,2019-03-25 18:01:00,Columbia,Attending
131,2019-03-25 18:02:00,NYU,Checked In
132,2019-03-25 18:08:00,Other,Attending
133,2019-03-25 18:09:00,NYU,Attending
134,2019-03-25 18:11:00,Columbia,Attending
135,2019-03-25 18:13:00,Columbia,Attending
136,2019-03-25 18:37:00,Other,Checked In
137,2019-03-25 19:09:00,CUNY,Attending
138,2019-03-25 19:40:00,Rutgers,Attending
139,2019-03-25 19:51:00,Non-academic Institution,Attending
140,2019-03-25 20:12:00,Non-academic Institution,Attending
141,2019-03-25 20:52:00,NYU,Attending
142,2019-03-25 21:09:00,NYU,Attending
143,2019-03-25 21:12:00,NYU,Attending
144,2019-03-25 21:14:00,Columbia,Attending
145,2019-03-25 21:42:00,Non-academic Institution,Attending
146,2019-03-25 21:49:00,Columbia,Checked In
147,2019-03-25 22:52:00,Other,Attending
148,2019-03-25 23:03:00,Non-academic Institution,Checked In
149,2019-03-25 23:17:00,Other,Attending
150,2019-03-26 00:00:00,NYU,Attending
151,2019-03-26 04:04:00,Columbia,Checked In
152,2019-03-26 04:23:00,Rutgers,Attending
153,2019-03-26 05:50:00,Non-academic Institution,Attending
154,2019-03-26 05:55:00,Non-academic Institution,Attending
155,2019-03-26 08:15:00,NYU,Checked In
156,2019-03-26 09:14:00,Other,Attending
157,2019-03-26 09:28:00,NYU,Checked In
158,2019-03-26 09:50:00,NYU,Checked In
159,2019-03-26 09:50:00,Columbia,Attending
160,2019-03-26 09:59:00,Einstein,Attending
161,2019-03-26 10:01:00,Non-academic Institution,Attending
162,2019-03-26 10:08:00,Weill Cornell,Checked In
163,2019-03-26 10:09:00,MSKCC,Attending
164,2019-03-26 10:10:00,Mount Sinai,Attending
165,2019-03-26 10:19:00,Other,Checked In
166,2019-03-26 10:21:00,MSKCC,Attending
167,2019-03-26 10:22:00,MSKCC,Attending
168,2019-03-26 10:22:00,MSKCC,Attending
169,2019-03-26 10:28:00,MSKCC,Attending
170,2019-03-26 10:31:00,Weill Cornell,Attending
171,2019-03-26 10:32:00,Weill Cornell,Attending
172,2019-03-26 10:33:00,Mount Sinai,Attending
173,2019-03-26 10:34:00,Weill Cornell,Checked In
174,2019-03-26 10:36:00,Weill Cornell,Attending
175,2019-03-26 10:38:00,Weill Cornell,Attending
176,2019-03-26 10:38:00,Weill Cornell,Attending
177,2019-03-26 10:50:00,Weill Cornell,Attending
178,2019-03-26 10:50:00,NYU,Checked In
179,2019-03-26 10:55:00,Weill Cornell,Attending
180,2019-03-26 10:56:00,Weill Cornell,Checked In
181,2019-03-26 11:04:00,Weill Cornell,Attending
182,2019-03-26 11:29:00,Weill Cornell,Attending
183,2019-03-26 11:49:00,Weill Cornell,Checked In
184,2019-03-26 11:59:00,Weill Cornell,Attending
185,2019-03-26 12:00:00,NYU,Attending
186,2019-03-26 12:06:00,Weill Cornell,Checked In
187,2019-03-26 12:07:00,Weill Cornell,Checked In
188,2019-03-26 12:10:00,Einstein,Checked In
189,2019-03-26 12:21:00,Weill Cornell,Checked In
190,2019-03-26 12:25:00,Non-academic Institution,Attending
