rsvp_no,time,institution,status
563,2019-04-16 10:22:00,NYU,Checked In
564,2019-04-16 10:26:00,NYU,Checked In
565,2019-04-16 10:28:00,CUNY (Hunter),Attending
566,2019-04-16 10:34:00,NYU,Checked In
567,2019-04-16 10:40:00,Weill Cornell,Attending
568,2019-04-16 10:56:00,Mount Sinai,Checked In
569,2019-04-16 10:59:00,Mount Sinai,Checked In
570,2019-04-16 11:14:00,Mount Sinai,Attending
571,2019-04-16 11:21:00,Weill Cornell,Attending
572,2019-04-16 11:21:00,Mount Sinai,Attending
573,2019-04-16 11:23:00,Columbia,Attending
574,2019-04-16 11:32:00,Weill Cornell,Attending
575,2019-04-16 11:38:00,Mount Sinai,Attending
576,2019-04-16 11:42:00,NYU,Attending
577,2019-04-16 12:02:00,NYU,Attending
578,2019-04-16 12:45:00,Rutgers,Checked In
579,2019-04-16 13:21:00,Mount Sinai,Attending
580,2019-04-16 13:44:00,NYU,Checked In
581,2019-04-16 14:03:00,NYU,Checked In
582,2019-04-16 14:24:00,Columbia,Checked In
583,2019-04-16 14:50:00,Einstein,Attending
584,2019-04-16 14:59:00,Non-academic Institution,Checked In
585,2019-04-16 15:12:00,Mount Sinai,Checked In
586,2019-04-16 15:45:00,Columbia,Attending
587,2019-04-16 15:56:00,Other,Checked In
588,2019-04-16 16:47:00,Weill Cornell,Attending
589,2019-04-16 16:54:00,Weill Cornell,Attending
590,2019-04-16 18:02:00,Other,Attending
591,2019-04-16 18:11:00,Other,Checked In
592,2019-04-16 19:02:00,CUNY (CCNY),Attending
593,2019-04-16 20:40:00,Other,Attending
594,2019-04-17 07:41:00,Weill Cornell,Attending
595,2019-04-17 09:05:00,Mount Sinai,Checked In
596,2019-04-17 10:00:00,Rutgers,Attending
597,2019-04-17 10:19:00,Columbia,Attending
599,2019-04-17 10:48:00,MSKCC,Checked In
601,2019-04-17 11:36:00,Einstein,Checked In
602,2019-04-17 11:44:00,Non-academic Institution,Checked In
603,2019-04-17 12:08:00,Columbia,Attending
604,2019-04-17 12:10:00,Columbia,Attending
605,2019-04-17 12:10:00,Columbia,Attending
606,2019-04-17 12:11:00,Columbia,Checked In
607,2019-04-17 12:12:00,Columbia,Attending
608,2019-04-17 12:12:00,Columbia,Attending
609,2019-04-17 12:19:00,Columbia,Attending
610,2019-04-17 12:21:00,Columbia,Checked In
611,2019-04-17 12:24:00,Columbia,Attending
612,2019-04-17 12:30:00,Columbia,Checked In
613,2019-04-17 12:38:00,Columbia,Attending
614,2019-04-17 12:46:00,Columbia,Attending
615,2019-04-17 12:47:00,Weill Cornell,Attending
616,2019-04-17 12:49:00,Weill Cornell,Attending
617,2019-04-17 13:22:00,Columbia,Checked In
618,2019-04-17 13:28:00,Columbia,Checked In
619,2019-04-17 13:39:00,Columbia,Checked In
620,2019-04-17 14:12:00,Yeshiva,Checked In
621,2019-04-17 14:21:00,Columbia,Attending
622,2019-04-17 14:23:00,Columbia,Attending
623,2019-04-17 14:27:00,Columbia,Checked In
624,2019-04-17 14:29:00,Columbia,Checked In
626,2019-04-17 14:39:00,NYU,Checked In
627,2019-04-17 14:51:00,Columbia,Attending
628,2019-04-17 15:13:00,Non-academic Institution,Checked In
629,2019-04-17 15:15:00,Columbia,Attending
630,2019-04-17 15:22:00,Mount Sinai,Checked In
631,2019-04-17 15:27:00,Columbia,Attending
632,2019-04-17 15:32:00,Columbia,Checked In
633,2019-04-17 15:32:00,Columbia,Checked In
634,2019-04-17 15:42:00,Non-academic Institution,Attending
635,2019-04-17 15:59:00,Columbia,Attending
637,2019-04-17 17:24:00,Non-academic Institution,Attending
638,2019-04-17 17:53:00,Weill Cornell,Attending
639,2019-04-17 18:19:00,CUNY (CCNY),Checked In
640,2019-04-17 19:21:00,Columbia,Checked In
641,2019-04-17 21:31:00,Einstein,Attending
642,2019-04-18 06:35:00,CUNY (CCNY),Attending
643,2019-04-18 07:14:00,CUNY (CCNY),Attending
644,2019-04-18 09:16:00,Weill Cornell,Attending
645,2019-04-18 11:10:00,Columbia,Checked In
646,2019-04-18 11:46:00,Columbia,Checked In
647,2019-04-18 14:23:00,Mount Sinai,Checked In
648,2019-04-18 14:29:00,CUNY (CCNY),Checked In
649,2019-04-18 15:36:00,Columbia,Attending
650,2019-04-18 15:38:00,Columbia,Attending
651,2019-04-18 15:44:00,Columbia,Attending
652,2019-04-18 15:50:00,Columbia,Attending
653,2019-04-18 16:04:00,Columbia,Attending
654,2019-04-18 16:37:00,Other,Attending
655,2019-04-18 16:40:00,CUNY (CCNY),Checked In
656,2019-04-18 16:45:00,Columbia,Attending
657,2019-04-18 16:46:00,Other,Attending
658,2019-04-18 17:04:00,Columbia,Checked In
659,2019-04-18 17:04:00,Other,Checked In
660,2019-04-18 17:12:00,Columbia,Attending
661,2019-04-18 18:04:00,Columbia,Attending
662,2019-04-18 18:11:00,Columbia,Attending
663,2019-04-18 18:16:00,NYU,Attending
664,2019-04-18 18:40:00,NYU,Checked In
665,2019-04-18 19:13:00,CUNY (CCNY),Checked In
666,2019-04-18 20:06:00,Weill Cornell,Attending
667,2019-04-18 20:14:00,Mount Sinai,Checked In
668,2019-04-18 22:20:00,SUNY (Downstate),Checked In
669,2019-04-18 23:00:00,Weill Cornell,Attending
670,2019-04-18 23:40:00,Columbia,Attending
671,2019-04-19 00:02:00,Columbia,Checked In
672,2019-04-19 01:47:00,CUNY (CCNY),Attending
673,2019-04-19 08:22:00,Columbia,Attending
674,2019-04-19 08:57:00,Non-academic Institution,Checked In
675,2019-04-19 09:02:00,Mount Sinai,Attending
676,2019-04-19 09:31:00,Other,Attending
677,2019-04-19 09:55:00,Other,Attending
678,2019-04-19 12:31:00,Columbia,Attending
679,2019-04-19 12:32:00,NYU,Checked In
680,2019-04-19 13:17:00,Columbia,Checked In
681,2019-04-19 13:44:00,Columbia,Attending
682,2019-04-19 13:48:00,Columbia,Attending
683,2019-04-19 13:48:00,Columbia,Attending
684,2019-04-19 14:11:00,Columbia,Checked In
685,2019-04-19 16:18:00,Columbia,Attending
686,2019-04-19 19:24:00,CUNY (CCNY),Checked In
687,2019-04-20 08:50:00,CUNY (CCNY),Checked In
688,2019-04-20 10:50:00,Non-academic Institution,Checked In
689,2019-04-20 12:36:00,Other,Attending
690,2019-04-20 12:43:00,Non-academic Institution,Checked In
691,2019-04-20 12:48:00,NYU,Attending
692,2019-04-20 19:21:00,CUNY (CCNY),Attending
693,2019-04-20 23:48:00,Other,Attending
695,2019-04-21 13:19:00,Columbia,Attending
696,2019-04-21 18:51:00,Other,Attending
697,2019-04-22 09:50:00,SUNY (Stony Brook),Checked In
698,2019-04-22 10:07:00,Other,Checked In
699,2019-04-22 10:08:00,CUNY (CCNY),Attending
700,2019-04-22 10:17:00,Other,Attending
701,2019-04-22 10:19:00,Mount Sinai,Checked In
702,2019-04-22 10:25:00,Mount Sinai,Checked In
703,2019-04-22 10:25:00,Mount Sinai,Attending
704,2019-04-22 10:35:00,Mount Sinai,Attending
705,2019-04-22 10:38:00,Mount Sinai,Attending
706,2019-04-22 10:40:00,Mount Sinai,Attending
707,2019-04-22 10:43:00,Other,Attending
708,2019-04-22 10:45:00,Other,Attending
709,2019-04-22 10:51:00,Mount Sinai,Attending
710,2019-04-22 10:57:00,Columbia,Attending
711,2019-04-22 10:58:00,Mount Sinai,Checked In
712,2019-04-22 10:58:00,Mount Sinai,Checked In
713,2019-04-22 10:59:00,CUNY (Baruch),Attending
714,2019-04-22 11:03:00,Rutgers,Checked In
715,2019-04-22 11:06:00,Mount Sinai,Attending
716,2019-04-22 11:09:00,NYU,Checked In
717,2019-04-22 11:12:00,Columbia,Attending
718,2019-04-22 11:15:00,Other,Attending
719,2019-04-22 11:24:00,NYU,Checked In
720,2019-04-22 11:29:00,Einstein,Checked In
721,2019-04-22 11:41:00,Rutgers,Attending
722,2019-04-22 11:55:00,NYU,Attending
723,2019-04-22 11:56:00,NYU,Checked In
724,2019-04-22 12:07:00,NYU,Attending
725,2019-04-22 12:08:00,Mount Sinai,Attending
726,2019-04-22 13:21:00,Other,Attending
727,2019-04-22 13:22:00,SUNY (Stony Brook),Attending
728,2019-04-22 13:47:00,Rutgers,Checked In
729,2019-04-22 13:54:00,Non-academic Institution,Attending
730,2019-04-22 14:05:00,Other,Checked In
731,2019-04-22 14:33:00,NYMC,Checked In
732,2019-04-22 14:35:00,Weill Cornell,Attending
733,2019-04-22 14:36:00,Mount Sinai,Attending
734,2019-04-22 15:13:00,CUNY (CCNY),Checked In
735,2019-04-22 15:15:00,CUNY (CCNY),Attending
736,2019-04-22 15:28:00,Columbia,Attending
737,2019-04-22 15:34:00,Other,Attending
738,2019-04-22 16:45:00,Rutgers,Attending
739,2019-04-22 16:45:00,Mount Sinai,Checked In
740,2019-04-22 17:39:00,Other,Checked In
741,2019-04-22 17:43:00,Weill Cornell,Checked In
742,2019-04-22 17:46:00,Mount Sinai,Attending
744,2019-04-22 17:56:00,NYU,Attending
745,2019-04-22 18:07:00,NYU,Checked In
746,2019-04-22 18:13:00,Mount Sinai,Attending
747,2019-04-22 18:13:00,Columbia,Checked In
748,2019-04-22 18:13:00,CUNY (Hunter),Checked In
749,2019-04-22 18:16:00,Other,Checked In
750,2019-04-22 18:29:00,Columbia,Checked In
751,2019-04-22 19:04:00,NYU,Checked In
752,2019-04-22 20:34:00,Non-academic Institution,Checked In
754,2019-04-22 20:59:00,Columbia,Attending
755,2019-04-22 21:20:00,CUNY (CCNY),Checked In
756,2019-04-22 22:06:00,MSKCC,Attending
757,2019-04-22 22:12:00,NYU,Checked In
758,2019-04-23 01:53:00,Weill Cornell,Attending
759,2019-04-23 05:45:00,CUNY (Other),Checked In
760,2019-04-23 06:36:00,Columbia,Attending
761,2019-04-23 07:07:00,Non-academic Institution,Attending
762,2019-04-23 07:53:00,Non-academic Institution,Checked In
763,2019-04-23 08:02:00,Other,Checked In
764,2019-04-23 08:34:00,Non-academic Institution,Checked In
765,2019-04-23 08:40:00,Other,Checked In
766,2019-04-23 09:01:00,NYU,Checked In
767,2019-04-23 09:40:00,Columbia,Checked In
768,2019-04-23 09:42:00,Non-academic Institution,Checked In
769,2019-04-23 09:58:00,Non-academic Institution,Checked In
770,2019-04-23 10:07:00,Columbia,Checked In
771,2019-04-23 10:27:00,Columbia,Attending
772,2019-04-23 10:32:00,Columbia,Checked In
773,2019-04-23 10:59:00,,Attending
774,2019-04-23 12:48:00,NYU,Attending
775,2019-04-23 13:10:00,,Attending
776,2019-04-23 13:11:00,,Attending
777,2019-04-23 13:19:00,,Checked In
778,2019-04-23 13:31:00,NYU,Attending
779,2019-04-23 13:53:00,,Attending
780,2019-04-23 14:30:00,,Checked In
781,2019-04-23 14:31:00,,Checked In
782,2019-04-23 14:32:00,Columbia,Checked In
783,2019-04-23 14:41:00,,Attending
784,2019-04-23 14:42:00,,Checked In
785,2019-04-23 14:44:00,,Checked In
786,2019-04-23 15:35:00,,Attending
787,2019-04-23 15:37:00,Columbia,Attending
788,2019-04-23 15:43:00,Columbia,Checked In
789,2019-04-23 15:50:00,,Attending
790,2019-04-23 16:25:00,,Attending
791,2019-04-23 16:27:00,,Checked In
792,2019-04-23 16:27:00,,Attending
793,2019-04-23 17:41:00,NYU,Attending
