,time,institution
61,2019-03-25 11:44:00,Non-academic Institution
62,2019-03-25 11:57:00,Einstein
63,2019-03-25 11:57:00,Einstein
64,2019-03-25 12:05:00,Other
65,2019-03-25 12:10:00,Columbia
66,2019-03-25 12:11:00,NYU
67,2019-03-25 12:15:00,Columbia
68,2019-03-25 12:31:00,Mount Sinai
69,2019-03-25 12:36:00,Non-academic Institution
70,2019-03-25 12:41:00,Mount Sinai
71,2019-03-25 12:43:00,Non-academic Institution
72,2019-03-25 12:44:00,NYU
73,2019-03-25 12:56:00,NYU
74,2019-03-25 13:01:00,Columbia
75,2019-03-25 13:03:00,CUNY
76,2019-03-25 13:08:00,NYU
77,2019-03-25 13:16:00,NYU
78,2019-03-25 13:17:00,Mount Sinai
79,2019-03-25 13:17:00,NYU
80,2019-03-25 13:22:00,CUNY
81,2019-03-25 13:52:00,Mount Sinai
82,2019-03-25 14:02:00,NYU
83,2019-03-25 14:07:00,Weill Cornell
84,2019-03-25 14:16:00,Mount Sinai
85,2019-03-25 14:29:00,CUNY
86,2019-03-25 14:30:00,NYU
87,2019-03-25 14:48:00,Rutgers
88,2019-03-25 14:50:00,NYU
89,2019-03-25 14:59:00,Columbia
90,2019-03-25 15:00:00,NYU
91,2019-03-25 15:05:00,Columbia
92,2019-03-25 15:05:00,Columbia
93,2019-03-25 15:06:00,Columbia
94,2019-03-25 15:17:00,Einstein
95,2019-03-25 15:30:00,MSKCC
96,2019-03-25 15:38:00,Einstein
97,2019-03-25 15:40:00,NYU
98,2019-03-25 15:48:00,Mount Sinai
99,2019-03-25 15:57:00,Columbia
100,2019-03-25 16:00:00,Non-academic Institution
101,2019-03-25 16:16:00,Other
102,2019-03-25 16:34:00,Columbia
103,2019-03-25 16:39:00,Other
104,2019-03-25 16:40:00,Other
105,2019-03-25 16:41:00,Non-academic Institution
106,2019-03-25 16:42:00,Non-academic Institution
107,2019-03-25 16:42:00,Weill Cornell
108,2019-03-25 16:42:00,Other
109,2019-03-25 16:45:00,Columbia
110,2019-03-25 16:47:00,Columbia
111,2019-03-25 16:48:00,Columbia
112,2019-03-25 16:50:00,Non-academic Institution
113,2019-03-25 16:52:00,Non-academic Institution
114,2019-03-25 16:54:00,NYU
115,2019-03-25 16:54:00,Non-academic Institution
116,2019-03-25 16:54:00,Columbia
117,2019-03-25 17:03:00,Columbia
118,2019-03-25 17:04:00,Columbia
119,2019-03-25 17:09:00,Non-academic Institution
120,2019-03-25 17:12:00,Einstein
121,2019-03-25 17:12:00,CUNY
122,2019-03-25 17:15:00,NYU
123,2019-03-25 17:19:00,Other
124,2019-03-25 17:23:00,Columbia
125,2019-03-25 17:27:00,NYU
126,2019-03-25 17:33:00,Mount Sinai
127,2019-03-25 17:48:00,Non-academic Institution
128,2019-03-25 17:50:00,Non-academic Institution
129,2019-03-25 18:00:00,Other
130,2019-03-25 18:01:00,Columbia
131,2019-03-25 18:02:00,NYU
132,2019-03-25 18:08:00,Other
133,2019-03-25 18:09:00,NYU
134,2019-03-25 18:11:00,Columbia
135,2019-03-25 18:13:00,Columbia
136,2019-03-25 18:37:00,Other
137,2019-03-25 19:09:00,CUNY
138,2019-03-25 19:40:00,Rutgers
139,2019-03-25 19:51:00,Non-academic Institution
140,2019-03-25 20:12:00,Non-academic Institution
141,2019-03-25 20:52:00,NYU
142,2019-03-25 21:09:00,NYU
143,2019-03-25 21:12:00,NYU
144,2019-03-25 21:14:00,Columbia
145,2019-03-25 21:42:00,Non-academic Institution
146,2019-03-25 21:49:00,Columbia
147,2019-03-25 22:52:00,Other
148,2019-03-25 23:03:00,Non-academic Institution
149,2019-03-25 23:17:00,Other
150,2019-03-26 00:00:00,NYU
151,2019-03-26 04:04:00,Columbia
152,2019-03-26 04:23:00,Rutgers
153,2019-03-26 05:50:00,Non-academic Institution
154,2019-03-26 05:55:00,Non-academic Institution
155,2019-03-26 08:15:00,NYU
156,2019-03-26 09:14:00,Other
157,2019-03-26 09:28:00,NYU
158,2019-03-26 09:50:00,NYU
159,2019-03-26 09:50:00,Columbia
160,2019-03-26 09:59:00,Einstein
161,2019-03-26 10:01:00,Non-academic Institution
162,2019-03-26 10:08:00,Weill Cornell
163,2019-03-26 10:09:00,MSKCC
164,2019-03-26 10:10:00,Mount Sinai
165,2019-03-26 10:19:00,Other
166,2019-03-26 10:21:00,MSKCC
167,2019-03-26 10:22:00,MSKCC
168,2019-03-26 10:22:00,MSKCC
169,2019-03-26 10:28:00,MSKCC
170,2019-03-26 10:31:00,Weill Cornell
171,2019-03-26 10:32:00,Weill Cornell
172,2019-03-26 10:33:00,Mount Sinai
173,2019-03-26 10:34:00,Weill Cornell
174,2019-03-26 10:36:00,Weill Cornell
175,2019-03-26 10:38:00,Weill Cornell
176,2019-03-26 10:38:00,Weill Cornell
177,2019-03-26 10:50:00,Weill Cornell
178,2019-03-26 10:50:00,NYU
179,2019-03-26 10:55:00,Weill Cornell
180,2019-03-26 10:56:00,Weill Cornell
181,2019-03-26 11:04:00,Weill Cornell
182,2019-03-26 11:29:00,Weill Cornell
183,2019-03-26 11:49:00,Weill Cornell
184,2019-03-26 11:59:00,Weill Cornell
185,2019-03-26 12:00:00,NYU
186,2019-03-26 12:06:00,Weill Cornell
187,2019-03-26 12:07:00,Weill Cornell
188,2019-03-26 12:10:00,Einstein
189,2019-03-26 12:21:00,Weill Cornell
190,2019-03-26 12:25:00,Non-academic Institution
191,2019-03-26 12:47:00,Weill Cornell
192,2019-03-26 12:50:00,MSKCC
193,2019-03-26 13:04:00,Weill Cornell
194,2019-03-26 13:11:00,MSKCC
195,2019-03-26 13:18:00,Weill Cornell
196,2019-03-26 13:47:00,Weill Cornell
197,2019-03-26 13:52:00,Weill Cornell
198,2019-03-26 13:56:00,Other
199,2019-03-26 14:45:00,Weill Cornell
200,2019-03-26 14:50:00,Einstein
201,2019-03-26 15:00:00,Other
202,2019-03-26 15:05:00,Other
203,2019-03-26 15:08:00,NYU
204,2019-03-26 15:09:00,Columbia
205,2019-03-26 15:14:00,Weill Cornell
206,2019-03-26 15:42:00,Weill Cornell
207,2019-03-26 15:44:00,Non-academic Institution
208,2019-03-26 15:47:00,Weill Cornell
209,2019-03-26 15:52:00,Non-academic Institution
210,2019-03-26 16:01:00,NYU
211,2019-03-26 16:32:00,MSKCC
212,2019-03-26 16:46:00,Weill Cornell
213,2019-03-26 16:48:00,CUNY
214,2019-03-26 16:57:00,Mount Sinai
215,2019-03-26 17:05:00,Einstein
216,2019-03-26 17:14:00,Non-academic Institution
217,2019-03-26 17:35:00,Other
218,2019-03-26 18:20:00,Columbia
219,2019-03-26 18:26:00,Columbia
220,2019-03-26 18:29:00,Non-academic Institution
221,2019-03-26 21:49:00,MSKCC
222,2019-03-26 21:56:00,MSKCC
